Acanthaster planci	OKI-Apl_1.0
Loxodonta africana	Loxafr3.0
Lucilia cuprina	Lcup_2.0
Lucilia sericata	ASM1558622v1
Lutraria rhynchaena	LuRhyn_1.0
Lynx canadensis	mLynCan4.pri.v2
Lytechinus pictus	UCSD_Lpic_2.0
Lytechinus variegatus	Lvar_3.0
Macaca fascicularis	Macaca_fascicularis_5.0
Macaca mulatta	Mmul_10
Macaca nemestrina	Mnem_1.0
Magallana hongkongensis	CUHK_oyster_2.0
Malaclemys terrapin terrapin	terp_v2_2
Manacus vitellinus	ASM171598v3
Mandrillus leucophaeus	Mleu.le_1.0
Manduca sexta	JHU_Msex_v1.0
Maniola hyperantus	iAphHyp1.1
Manis javanica	YNU_ManJav_2.0
Manis pentadactyla	YNU_ManPten_2.0
Margaritifera margaritifera	ASM1594796v1
Marmota flaviventris	GSC_YBM_2.0
Marmota marmota	marMar2.1
Mastacembelus armatus	fMasArm1.2
Mastomys coucha	UCSF_Mcou_1
Mauremys reevesii	ASM1616193v1
Maylandia zebra	M_zebra_UMD2a
Megachile rotundata	MROT_1.0
Megalonaias nervosa	ASM1661785v1
Megalops cyprinoides	fMegCyp1.pri
Megalopta genalis	USU_MGEN_1.2
Melanaphis sacchari	SCAv2.0
Meleagris gallopavo	Turkey_5.1
Melopsittacus undulatus	bMelUnd1.mat.Z
Mercenaria mercenaria	ASM1480567v1
Meriones unguiculatus	MunDraft-v1.0
Merops nubicus	ASM69184v1
Mesitornis unicolor	ASM69576v1
Mesocricetus auratus	MesAur1.0
Metaseiulus occidentalis	Mocc_1.0
Microcaecilia unicolor	aMicUni1.1
Microcebus murinus	Mmur_3.0
Microplitis demolitor	Mdem2
Micropterus salmoides	ASM1485139v1
Microtus ochrogaster	MicOch1.0
Miniopterus natalensis	Mnat.v1
Mirounga leonina	KU_Mleo_1.0
Mizuhopecten yessoensis	ASM211388v2
Modiolus philippinarum	Mph_v1.0
Molossus molossus	mMolMol1.p
Molothrus ater	BPBGC_Mater_1.0
Monodelphis domestica	MonDom5
Monodon monoceros	NGI_Narwhal_1
Monomorium pharaonis	ASM1337386v2
Monopterus albus	M_albus_1.0
Monosiga brevicollis	V1.0
Morone saxatilis	NCSU_SB_2.0
Motacilla alba	Motacilla_alba_V1.0_pri
Mus caroli	CAROLI_EIJ_v1.1
Mus musculus	GRCm39
Mus pahari	PAHARI_EIJ_v1.1
Musca domestica	Musca_domestica-2.0.2
Mustela erminea	mMusErm1.Pri
Mustela putorius	MusPutFur1.0
Myotis brandtii	ASM41265v1
Myotis davidii	ASM32734v1
Myotis lucifugus	Myoluc2.0
Myotis myotis	mMyoMyo1.p
Myripristis murdjan	fMyrMur1.1
Mytilus coruscus	Mcoruscus_HiC
Mytilus galloprovincialis	MGAL_10
Myzus persicae	MPER_G0061.0
Naja naja	Nana_v5
Nannospalax galili	S.galili_v1.0
Nanorana parkeri	ASM93562v1
Nasonia vitripennis	Nvit_psr_1.1
Necator americanus	N_americanus_v1
Nematolebias whitei	NemWhi1
Nematostella vectensis	ASM20922v1
Neodiprion lecontei	Nlec1.0
Neolamprologus brichardi	NeoBri1.0
Neomonachus schauinslandi	ASM220157v1
Neopelma chrysocephalum	ASM398488v2
Neophocaena asiaeorientalis	Neophocaena_asiaeorientalis_V1
Nestor notabilis	ASM69687v1
Nicrophorus vespilloides	Nicve_v1.0
Nilaparvata lugens	ASM1435652v1
Nipponia nippon	ASM70822v1
Nomascus leucogenys	Asia_NLE_v1
Nomia melanderi	USU_Nmel_1.2
Notechis scutatus	TS10Xv2-PRI
Nothobranchius furzeri	Nfu_20140520
Nothoprocta perdicaria	notPer1
Notolabrus celidotus	fNotCel1.pri
Notothenia coriiceps	NC01
Numida meleagris	NumMel1.0
Nylanderia fulva	TAMU_Nfulva_1.0
Ochotona princeps	OchPri4.0
Octodon degus	OctDeg1.0
Octopus bimaculoides	Octopus_bimaculoides_v2_0
Octopus vulgaris	ASM634580v1
Odobenus rosmarus	Oros_1.0
Odocoileus virginianus	Ovir.te_1.0
Odontomachus brunneus	Obru_v1
Oncorhynchus keta	Oket_V1
Oncorhynchus kisutch	Okis_V2
Oncorhynchus mykiss	USDA_OmykA_1.1
Oncorhynchus nerka	Oner_1.0
Oncorhynchus tshawytscha	Otsh_v1.0
Onthophagus taurus	Otau_2.0
Onychomys torridus	mOncTor1.1
Ooceraea biroi	Obir_v5.4
Ophiophagus hannah	OphHan1.0
Ophiothrix spiculata	Ospi.un_1.0
Ophisaurus gracilis	O.gracilis.final.assembly
Opisthocomus hoazin	ASM69207v1
Opisthorchis viverrini	OpiViv1.0
Orbicella faveolata	ofav_dov_v1
Orcinus orca	Oorc_1.1
Oreochromis aureus	ZZ_aureus
Oreochromis niloticus	O_niloticus_UMD_NMBU
Ornithorhynchus anatinus	mOrnAna1.pri.v4
Orussus abietinus	Oabi_2.0
Orycteropus afer	OryAfe1.0
Oryctolagus cuniculus	OryCun2.0
Oryx dammah	SCBI_Odam_1.1
Oryzias latipes	ASM223467v1
Oryzias melastigma	ASM292280v2
Osmia bicornis	Obicornis_v3
Osmia lignaria	USDA_OLig_1.0
Ostrea lurida	v081
Ostrinia furnacalis	ASM419383v1
Otolemur garnettii	OtoGar3
Ovis aries	Oar_rambouillet_v1.0
Oxyura jamaicensis	BPBGC_Ojam_1.0
Paelopatides confundens	ASM1131785v1
Pan paniscus	Mhudiblu_PPA_v0
Pan troglodytes	Clint_PTRv2
Pangasianodon hypophthalmus	GENO_Phyp_1.0
Panopea generosa	PGEN-v1.0
Panthera pardus	PanPar1.0
Panthera tigris	PanTig1.0
Pantherophis guttatus	UNIGE_PanGut_3.0
Pantherophis guttatus	PanGut1.0
Papilio machaon	Pap_ma_1.0
Papilio polytes	Ppol_1.0
Papilio xuthus	Pxut_1.0
Papio anubis	Panubis1.0
Paralichthys olivaceus	Flounder_ref_guided_V1.0
Parambassis ranga	fParRan2.1
Paramormyrops kingsleyae	PKINGS_0.1
Pararge aegeria	ilParAegt1.1
Parasteatoda tepidariorum	Ptep_2.0
Parastichopus parvimensis	Ppar_1.0
Paroedura picta	BDOT
Parus major	Parus_major1.1
Passer montanus	ASM1480565v1
Patiria miniata	ASM1570657v1
Pecten maximus	xPecMax1.1
Pediculus humanus	JCVI_LOUSE_1.0
Pelecanus crispus	ASM68737v1
Pelodiscus sinensis	PelSin_1.0
Penaeus monodon	NSTDA_Pmon_1
Penaeus vannamei	ASM378908v1
Perca flavescens	PFLA_1.0
Perca fluviatilis	GENO_Pfluv_1.0
Periophthalmus magnuspinnatus	fPerMag1.pri
Peromyscus leucopus	UCI_PerLeu_2.1
Peromyscus maniculatus	Pman_1.0
Petromyzon marinus	kPetMar1.pri
Phaethon lepturus	ASM68728v1
Phalacrocorax carbo	ASM70892v1
Phascolarctos cinereus	phaCin_unsw_v4.1
Phasianus colchicus	ASM414374v1
Phoca vitulina	GSC_HSeal_1.0
Phocoena sinus	mPhoSin1.pri
Photinus pyralis	Ppyr1.3
Phyllostomus discolor	mPhyDis1.pri.v3
Physeter catodon	ASM283717v2
Picoides pubescens	ASM69900v1
Pieris rapae	P_rapae_3842_assembly_v2
Piliocolobus tephrosceles	ASM277652v3
Pimephales promelas	EPA_FHM_2.0
Pinctada martensii	PinMar1.0
Pinna nobilis	ASM1616189v1
Pipistrellus kuhlii	mPipKuh1.p
Pipra filicauda	ASM394559v2
Pisaster ochraceus	ASM1099431v1
Plutella xylostella	Haplomerged_assembly
Pocillopora damicornis	ASM370409v1
Podarcis muralis	PodMur_1.0
Poecilia formosa	Poecilia_formosa-5.1.2
Poecilia latipinna	P_latipinna-1.0
Poecilia mexicana	P_mexicana-1.0
Poecilia reticulata	Guppy_female_1.0_MT
Pogona vitticeps	pvi1.1
Pogonomyrmex barbatus	Pbar_UMD_V03
Polistes canadensis	ASM131383v1
Polistes dominula	Pdom_r1.2
Pollicipes pollicipes	Ppol_2
Polypterus senegalus	ASM1683550v1
Pomacea canaliculata	ASM307304v1
Pongo abelii	Susie_PABv2
Potamilus streckersoni	UT_Pstr_1.0
Priapulus caudatus	Priapulus_caudatus-5.0.1
Propithecus coquereli	Pcoq_1.0
Protobothrops mucrosquamatus	P.Mucros_1.0
Pseudochaenichthys georgianus	fPseGeo1.1
Pseudomyrmex gracilis	ASM200609v1
Pseudonaja textilis	EBS10Xv2-PRI
Pseudopodoces humilis	PseHum1.0
Pterocles gutturalis	ASM69924v1
Pteropus alecto	ASM32557v1
Pteropus giganteus	Ma_sr-lr_union100
Pteropus vampyrus	Pvam_2.0
Puma concolor	PumCon1.0
Pundamilia nyererei	PunNye1.0
Pungitius pungitius	NSP_V7
Pygocentrus nattereri	fPygNat1.pri
Pygoscelis adeliae	ASM69910v1
Python bivittatus	Python_molurus_bivittatus-5.0.2
Python bivittatus	Python_molurus_bivittatus_5.0.2
Rana temporaria	aRanTem1.1
Rattus norvegicus	mRatBN7.2
Rattus rattus	Rrattus_CSIRO_v1
Rhagoletis pomonella	Rhpom_1.0
Rhagoletis zephyria	Rhagoletis_zephyria_1.0
Rhinatrema bivittatum	aRhiBiv1.1
Rhincodon typus	ASM164234v2
Rhinolophus ferrumequinum	mRhiFer1_v1.p
Rhinopithecus bieti	ASM169854v1
Rhinopithecus roxellana	ASM756505v1
Rhipicephalus microplus	ASM1333972v1
Rhipicephalus sanguineus	ASM1333969v1
Rhopalosiphum maidis	ASM367621v3
Rousettus aegyptiacus	mRouAeg1.p
Ruditapes philippinarum	ASM902601v1
Saccoglossus kowalevskii	Skow_1.1
Saccostrea glomerata	Sgl1.0
Saimiri boliviensis	BCM_Sbol_2.0
Salarias fasciatus	fSalaFa1.1
Salmo salar	ICSASG_v2
Salmo trutta	fSalTru1.1
Salpingoeca rosetta	Proterospongia_sp_ATCC50818
Salvator merianae	HLtupMer6
Salvelinus alpinus	ASM291031v2
Salvelinus namaycush	SaNama_1.0
Sander lucioperca	SLUC_FBN_1.2
Sapajus apella	GSC_monkey_1.0
Sarcophilus harrisii	mSarHar1.11
Scaptodrosophila lebanonensis	SlebRS2
Schistosoma haematobium	SchHae_2.0
Schistosoma mansoni	ASM23792v2
Scleropages formosus	fSclFor1.1
Scophthalmus maximus	ASM1334776v1
Scyliorhinus canicula	sScyCan1.1
Sebastes umbrosus	fSebUmb1.pri
Serinus canaria	cibio_Scana_2019
Seriola dumerili	Sdu_1.0
Seriola lalandi	Sedor1
Shinisaurus crocodilurus	Shinisaurus_crocodilurus
Simochromis diagramma	fSimDia1.1
Sinocyclocheilus anshuiensis	SAMN03320099.WGS_v1.1
Sinocyclocheilus grahami	SAMN03320097.WGS_v1.1
Sinocyclocheilus rhinocerous	SAMN03320098_v1.1
Sinonovacula constricta	ASM784412v1
Sipha flava	YSA_version1
Sitophilus oryzae	Soryzae_2.0
Solenopsis invicta	UNIL_Sinv_3.0
Sorex araneus	SorAra2.0
Sparus aurata	fSpaAur1.1
Sphaeramia orbicularis	fSphaOr1.1
Sphaeroforma arctica	Spha_arctica_JP610_V1
Sphenodon punctatus	ASM311381v1
Spodoptera frugiperda	ZJU_Sfru_1.0
Spodoptera litura	ASM270686v1
Stegastes partitus	Stegastes_partitus-1.0.2
Stegodyphus dumicola	ASM1061486v1
Stichopus horrens	UKM_Sthorr_1.1
Stomoxys calcitrans	Stomoxys_calcitrans-1.0.1
Strigops habroptila	bStrHab1.2.pri
Strongylocentrotus purpuratus	Spur_5.0
Strongyloides ratti	S_ratti_ED321
Struthio camelus	ASM69896v1
Sturnira hondurensis	WHU_Shon_v2
Sturnus vulgaris	Sturnus_vulgaris-1.0
Styela clava	ASM1312258v2
Stylophora pistillata	Stylophora_pistillata_v1
Suricata suricatta	meerkat_22Aug2017_6uvM2_HiC
Sus scrofa	Sscrofa11.1
Syngnathus acus	fSynAcu1.2
Tachyglossus aculeatus	mTacAcu1.pri
Tachysurus fulvidraco	ASM372403v1
Taeniopygia guttata	bTaeGut2.pat.W.v2
Takifugu rubripes	fTakRub1.2
Talpa occidentalis	MPIMG_talOcc4
Tauraco erythrolophus	ASM70936v1
Tegillarca granosa	ASM1337562v1
Teleopsis dalmanni	ASM223713v2
Temnothorax curvispinosus	ASM307098v1
Terrapene carolina	T_m_triunguis-2.0
Terrapene mexicana triunguis	T_m_triunguis-1.0
Tetranychus urticae	ASM23943v1
Thalassophryne amazonica	fThaAma1.1
Thamnophis elegans	rThaEle1.pri
Thamnophis sirtalis	Thamnophis_sirtalis-6.0
Theropithecus gelada	Tgel_1.0
Thrips palmi	TpBJ-2018v1
Tinamus guttatus	ASM70537v2
Trachemys scripta	CAS_Tse_1.0
Trachymyrmex cornetzi	Tcor1.0
Trachymyrmex septentrionalis	Tsep1.0
Trachymyrmex zeteki	Tzet1.0
Trachypithecus francoisi	Tfra_2.0
Trematomus bernacchii	fTreBer1.1
Tribolium castaneum	Tcas5.2
Trichechus manatus	TriManLat1.0
Trichinella spiralis	Trichinella_spiralis-3.7.1
Trichogramma pretiosum	Tpre_2.0
Trichoplax adhaerens	Trichoplax_adhaerens_v1.0
Trichoplusia ni	tn1
Trichosurus vulpecula	mTriVul1.pri
Tupaia chinensis	TupChi_1.0
Tursiops truncatus	mTurTru1.mat.Y
Tyto alba	genome_assembly_l500
Urocitellus parryii	ASM342692v1
Ursus arctos	ASM358476v1
Ursus maritimus	UrsMar_1.0
Vanessa tameamea	ASM293899v1
Varroa destructor	Vdes_3.0
Varroa jacobsoni	vjacob_1.0
Venustaconcha ellipsiformis	ASM340159v1
Vespa mandarinia	V.mandarinia_Nanaimo_p1.0
Vicugna pacos	VicPac3.1
Vipera berus	Vber.be_1.0
Vollenhovia emeryi	V.emery_V1.0
Vombatus ursinus	bare-nosed_wombat_genome_assembly
Vulpes vulpes	VulVul2.2
Wasmannia auropunctata	wasmannia.A_1.0
Xenopus laevis	Xenopus_laevis_v2
Xenopus tropicalis	UCB_Xtro_10.0
Xiphias gladius	ASM1685928v1
Xiphophorus couchianus	X_couchianus-1.0
Xiphophorus hellerii	Xiphophorus_hellerii-4.1
Xiphophorus maculatus	X_maculatus-5.0-male
Zalophus californianus	mZalCal1.pri.v2
Zerene cesonia	Zerene_cesonia_1.1
Zeugodacus cucurbitae	ASM80634v1
Zonotrichia albicollis	Zonotrichia_albicollis-1.0.1
Zootermopsis nevadensis	ZooNev1.0
Zootoca vivipara	UG_Zviv_1
